GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US250010101001,250010101001,"Block Group 1, Census Tract 101, Barnstable County, Massachusetts",569,97,37,31,60,48,25,22,41,46,17,20,25,23,15,17,16,21,12,17,82,56,46,35,47,38,55,37,17,18,30,24,44,27
1500000US250010101002,250010101002,"Block Group 2, Census Tract 101, Barnstable County, Massachusetts",231,73,32,38,24,18,0,12,29,25,29,36,0,12,11,18,0,12,9,15,7,11,23,22,14,17,0,12,10,15,43,28,0,12
1500000US250010101003,250010101003,"Block Group 3, Census Tract 101, Barnstable County, Massachusetts",377,89,7,12,23,21,9,14,22,36,8,12,36,38,17,21,19,21,0,12,65,51,22,34,57,44,25,23,37,28,8,12,22,21
1500000US250010101004,250010101004,"Block Group 4, Census Tract 101, Barnstable County, Massachusetts",305,87,8,14,32,32,35,29,56,75,15,16,49,47,30,27,0,12,8,12,8,12,22,19,29,36,0,12,6,11,0,12,7,10
1500000US250010101005,250010101005,"Block Group 5, Census Tract 101, Barnstable County, Massachusetts",290,92,8,12,14,17,13,17,31,38,17,18,14,22,22,36,9,14,33,26,17,19,59,48,16,18,13,15,8,12,0,12,16,18
1500000US250010102061,250010102061,"Block Group 1, Census Tract 102.06, Barnstable County, Massachusetts",320,120,32,38,0,12,8,13,80,60,0,12,16,17,0,12,44,49,19,21,7,11,22,35,9,18,52,51,0,12,31,29,0,12
1500000US250010102062,250010102062,"Block Group 2, Census Tract 102.06, Barnstable County, Massachusetts",568,101,21,24,42,38,41,29,55,61,27,24,12,16,13,17,20,21,20,19,60,36,89,68,93,46,33,30,0,12,24,21,18,19
1500000US250010102063,250010102063,"Block Group 3, Census Tract 102.06, Barnstable County, Massachusetts",615,142,14,18,41,44,8,12,42,53,46,33,0,12,16,18,38,48,24,23,17,19,105,59,98,64,82,54,24,23,25,22,35,28
1500000US250010102081,250010102081,"Block Group 1, Census Tract 102.08, Barnstable County, Massachusetts",269,91,5,7,14,22,0,12,0,12,0,12,41,35,33,32,4,7,14,21,5,8,93,61,27,29,21,26,12,22,0,12,0,12
1500000US250010102082,250010102082,"Block Group 2, Census Tract 102.08, Barnstable County, Massachusetts",235,74,5,7,21,25,14,23,0,12,0,12,32,36,15,24,17,27,0,12,35,31,14,24,9,11,39,11,0,12,24,25,10,16
1500000US250010102083,250010102083,"Block Group 3, Census Tract 102.08, Barnstable County, Massachusetts",292,101,32,37,21,25,17,28,14,24,13,22,5,7,15,24,0,12,0,12,0,12,130,68,12,12,10,20,0,12,0,12,23,22
1500000US250010103041,250010103041,"Block Group 1, Census Tract 103.04, Barnstable County, Massachusetts",511,91,17,18,0,12,17,18,29,25,8,13,26,24,17,19,0,12,9,14,25,22,115,80,86,42,52,33,28,25,43,27,39,29
1500000US250010103042,250010103042,"Block Group 2, Census Tract 103.04, Barnstable County, Massachusetts",399,106,34,45,69,52,0,12,48,48,28,23,27,34,9,16,0,12,7,11,20,20,19,21,44,32,39,27,18,20,37,28,0,12
1500000US250010103043,250010103043,"Block Group 3, Census Tract 103.04, Barnstable County, Massachusetts",235,78,0,12,0,12,15,20,9,13,0,12,6,11,20,24,0,12,7,12,20,20,0,12,42,30,66,65,17,18,28,27,5,8
1500000US250010103061,250010103061,"Block Group 1, Census Tract 103.06, Barnstable County, Massachusetts",508,140,36,44,41,31,9,14,33,30,57,64,38,50,0,12,7,11,13,14,13,19,52,36,92,75,48,45,15,18,47,43,7,11
1500000US250010103062,250010103062,"Block Group 2, Census Tract 103.06, Barnstable County, Massachusetts",456,107,0,12,11,18,0,12,7,10,0,12,61,53,51,50,16,19,18,18,37,29,125,64,66,59,28,30,0,12,19,21,17,22
1500000US250010103063,250010103063,"Block Group 3, Census Tract 103.06, Barnstable County, Massachusetts",337,104,0,12,30,48,0,12,17,19,0,12,57,49,7,11,51,58,4,8,82,68,38,30,9,13,9,14,22,20,11,14,0,12
1500000US250010104001,250010104001,"Block Group 1, Census Tract 104, Barnstable County, Massachusetts",399,107,16,20,28,45,24,26,28,45,6,12,50,77,0,12,11,15,37,46,21,24,21,23,98,48,25,25,11,16,16,18,7,11
1500000US250010104002,250010104002,"Block Group 2, Census Tract 104, Barnstable County, Massachusetts",508,100,45,31,68,54,16,19,61,53,31,23,68,56,43,31,34,32,20,21,19,22,0,12,30,34,47,27,0,12,17,25,9,15
1500000US250010104003,250010104003,"Block Group 3, Census Tract 104, Barnstable County, Massachusetts",221,83,0,12,0,12,34,26,9,15,0,12,27,43,8,14,0,12,48,53,15,17,0,12,0,12,71,50,0,12,9,15,0,12
1500000US250010104004,250010104004,"Block Group 4, Census Tract 104, Barnstable County, Massachusetts",344,106,10,15,9,16,10,15,0,12,0,12,0,12,0,12,12,18,26,43,0,12,80,58,46,50,58,39,33,31,9,14,51,50
1500000US250010105001,250010105001,"Block Group 1, Census Tract 105, Barnstable County, Massachusetts",758,128,70,83,125,84,26,24,7,10,26,22,23,19,6,9,38,40,15,17,7,12,62,45,124,61,57,35,44,31,82,51,46,29
