Id,Id2,Geography,Estimate; Total:,total," < $25,000","$25,000 - $29,999","$30,000 - $34,999","$35,000 - $39,999","$40,000 - $44,999","$45,000 - $49,999","$50,000 - $74,999",">$75,000",diversity,normalised_diversity
1500000US250173531022,250173531022,"Block Group 2, Census Tract 3531.02, Middlesex County, Massachusetts",225,225,38,0,5,0,9,4,21,148,1.08224240228638,0.540411706275435
1500000US250173531021,250173531021,"Block Group 1, Census Tract 3531.02, Middlesex County, Massachusetts",14,14,5,0,0,0,0,0,4,5,1.09337471755665,0.545970565803848
1500000US250173531012,250173531012,"Block Group 2, Census Tract 3531.01, Middlesex County, Massachusetts",340,340,65,0,0,16,7,0,27,225,1.01445106166741,0.506560478512413
1500000US250173529001,250173529001,"Block Group 1, Census Tract 3529, Middlesex County, Massachusetts",438,438,81,25,11,0,0,9,60,252,1.2382669694331,0.618321703494649
1500000US250173528002,250173528002,"Block Group 2, Census Tract 3528, Middlesex County, Massachusetts",720,720,107,0,19,21,21,8,64,480,1.12087850670822,0.559704429486364
1500000US250173528001,250173528001,"Block Group 1, Census Tract 3528, Middlesex County, Massachusetts",160,160,6,5,0,0,7,0,33,109,0.955418902031973,0.47708309891029
1500000US250173530002,250173530002,"Block Group 2, Census Tract 3530, Middlesex County, Massachusetts",207,207,60,0,17,0,8,0,32,90,1.3407030824681,0.669472605097206
1500000US250173530004,250173530004,"Block Group 4, Census Tract 3530, Middlesex County, Massachusetts",1060,1060,216,25,36,16,18,0,168,581,1.28142705226217,0.639873450086143
1500000US250173524001,250173524001,"Block Group 1, Census Tract 3524, Middlesex County, Massachusetts",109,109,4,7,0,5,9,5,8,71,1.25720336469148,0.62777748682994
1500000US250173524002,250173524002,"Block Group 2, Census Tract 3524, Middlesex County, Massachusetts",639,639,164,61,57,51,11,8,86,201,1.7491549023507,0.873430742800681
1500000US250173525001,250173525001,"Block Group 1, Census Tract 3525, Middlesex County, Massachusetts",532,532,109,0,21,24,8,61,33,276,1.41653181866898,0.707337261507319
1500000US250173525002,250173525002,"Block Group 2, Census Tract 3525, Middlesex County, Massachusetts",630,630,98,0,22,0,8,0,51,451,0.904830681922584,0.451822153405848
1500000US250173530003,250173530003,"Block Group 3, Census Tract 3530, Middlesex County, Massachusetts",478,478,210,15,18,32,8,8,32,155,1.45758336496452,0.7278361221433
1500000US250173531011,250173531011,"Block Group 1, Census Tract 3531.01, Middlesex County, Massachusetts",519,519,109,6,12,22,4,9,57,300,1.26762998518204,0.632983961606835
1500000US250173545003,250173545003,"Block Group 3, Census Tract 3545, Middlesex County, Massachusetts",288,288,39,0,0,0,0,15,75,159,1.10300550137265,0.55077964397689
1500000US250173536002,250173536002,"Block Group 2, Census Tract 3536, Middlesex County, Massachusetts",300,300,19,16,0,0,0,0,30,235,0.752634883210398,0.375824030345576
1500000US250173536004,250173536004,"Block Group 4, Census Tract 3536, Middlesex County, Massachusetts",321,321,7,0,9,0,23,8,36,238,0.931704694290598,0.465241541564715
