STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,TOWN,TOWN_ID,Neighbourh
"25","017","353102","2","250173531022",Block Group 2,G5030,S,"457786","429103","+42.3596422","-071.0854327",BOSTON,"35",BOSTON
"25","017","353102","1","250173531021",Block Group 1,G5030,S,"372033","269797","+42.3548415","-071.1013876",BOSTON,"35",BOSTON
"25","017","353101","2","250173531012",Block Group 2,G5030,S,"210461","0","+42.3632147","-071.0970958",CAMBRIDGE,"49",The Port
"25","017","352900","1","250173529001",Block Group 1,G5030,S,"118221","0","+42.3717052","-071.1010098",CAMBRIDGE,"49",The Port
"25","017","352800","2","250173528002",Block Group 2,G5030,S,"128631","0","+42.3715864","-071.0959340",CAMBRIDGE,"49",The Port
"25","017","352800","1","250173528001",Block Group 1,G5030,S,"33968","0","+42.3704876","-071.0995274",CAMBRIDGE,"49",The Port
"25","017","353102","2","250173531022",Block Group 2,G5030,S,"457786","429103","+42.3596422","-071.0854327",CAMBRIDGE,"49",The Port
"25","017","353102","1","250173531021",Block Group 1,G5030,S,"372033","269797","+42.3548415","-071.1013876",CAMBRIDGE,"49",The Port
"25","017","353000","2","250173530002",Block Group 2,G5030,S,"97381","0","+42.3668851","-071.1014529",CAMBRIDGE,"49",The Port
"25","017","353000","4","250173530004",Block Group 4,G5030,S,"170754","0","+42.3683025","-071.1043203",CAMBRIDGE,"49",The Port
"25","017","352400","1","250173524001",Block Group 1,G5030,S,"111287","0","+42.3669125","-071.0912940",CAMBRIDGE,"49",The Port
"25","017","352400","2","250173524002",Block Group 2,G5030,S,"356242","0","+42.3642544","-071.0903164",CAMBRIDGE,"49",The Port
"25","017","352500","1","250173525001",Block Group 1,G5030,S,"102539","0","+42.3691548","-071.0972723",CAMBRIDGE,"49",The Port
"25","017","352500","2","250173525002",Block Group 2,G5030,S,"104194","0","+42.3665954","-071.0979579",CAMBRIDGE,"49",The Port
"25","017","353000","3","250173530003",Block Group 3,G5030,S,"45504","0","+42.3644345","-071.1044730",CAMBRIDGE,"49",The Port
"25","017","353101","1","250173531011",Block Group 1,G5030,S,"201209","0","+42.3614078","-071.0999593",CAMBRIDGE,"49",The Port
"25","017","354500","3","250173545003",Block Group 3,G5030,S,"61928","0","+42.3864335","-071.1179953",SOMERVILLE,"274",SOMERVILLE
"25","017","353600","2","250173536002",Block Group 2,G5030,S,"94805","0","+42.3828060","-071.1169667",SOMERVILLE,"274",SOMERVILLE
"25","017","353600","4","250173536004",Block Group 4,G5030,S,"67065","0","+42.3844222","-071.1171572",SOMERVILLE,"274",SOMERVILLE
"25","017","354600","2","250173546002",Block Group 2,G5030,S,"106867","0","+42.3843738","-071.1326403",CAMBRIDGE,"49",Neighborhood Nine
"25","017","354000","1","250173540001",Block Group 1,G5030,S,"120567","0","+42.3835415","-071.1217697",CAMBRIDGE,"49",Neighborhood Nine
"25","017","354500","1","250173545001",Block Group 1,G5030,S,"115296","0","+42.3864356","-071.1213110",CAMBRIDGE,"49",Neighborhood Nine
"25","017","354500","3","250173545003",Block Group 3,G5030,S,"61928","0","+42.3864335","-071.1179953",CAMBRIDGE,"49",Neighborhood Nine
"25","017","353700","3","250173537003",Block Group 3,G5030,S,"123594","0","+42.3744363","-071.1168778",CAMBRIDGE,"49",Neighborhood Nine
"25","017","354000","3","250173540003",Block Group 3,G5030,S,"187203","0","+42.3766825","-071.1212812",CAMBRIDGE,"49",Neighborhood Nine
"25","017","353600","5","250173536005",Block Group 5,G5030,S,"327187","0","+42.3786614","-071.1166884",CAMBRIDGE,"49",Neighborhood Nine
"25","017","354300","2","250173543002",Block Group 2,G5030,S,"230857","0","+42.3808205","-071.1449355",CAMBRIDGE,"49",Neighborhood Nine
"25","017","353600","2","250173536002",Block Group 2,G5030,S,"94805","0","+42.3828060","-071.1169667",CAMBRIDGE,"49",Neighborhood Nine
"25","017","353600","4","250173536004",Block Group 4,G5030,S,"67065","0","+42.3844222","-071.1171572",CAMBRIDGE,"49",Neighborhood Nine
